序号,chunk_id,公司报告期,章节,页码,问题,答案,依据原文,依据是否逐字命中(自动),质检有据,质检自然,块原文(供核对),判定(留/删),编造类型,备注
1,600519_2024_p002_s0_c1,贵州茅台 2024年报,封面/目录,2,这份年报的审计意见是什么类型？公司负责人和会计负责人对财务报告的真实完整是怎么声明的？,我先说审计意见，天健会计师事务所(特殊普通合伙)为我们出具了标准无保留意见的审计报告。关于责任声明，公司负责人张德芹、主管会计工作负责人蒋焰及会计机构负责人（会计主管人员）蔡聪应声明：保证年度报告中财务报告的真实、准确、完整。另外，董事会、监事会及董事、监事、高级管理人员也保证年度报告内容的真实性、准确性、完整性，不存在虚假记载、误导性陈述或重大遗漏，并承担个别和连带的法律责任。,天健会计师事务所(特殊普通合伙)为本公司出具了标准无保留意见的审计报告。,是,2,1,"重要提示
一、 本公司董事会、监事会及董事、监事、高级管理人员保证年度报告内容的真实性、准确性、
完整性，不存在虚假记载、误导性陈述或重大遗漏，并承担个别和连带的法律责任。
二、 公司全体董事出席董事会会议。
三、 天健会计师事务所(特殊普通合伙)为本公司出具了标准无保留意见的审计报告。
四、 公司负责人张德芹、主管会计工作负责人蒋焰及会计机构负责人（会计主管人员）蔡聪应声
明：保证年度报告中财务报告的真实、准确、完整。
五、 董事会决议通过的本报告期利润分配预案或公积金转增股本预案
公司拟以实施权益分派股权登记日登记的总股本扣除回购专用账户中的股份为基数，实施
2024年年度利润分配，向全体股东每10股派发现金红利276.24元（含税）。截至2025年3月31日，
公司总股本1,256,197,800股，回购专用证券账户中股份数1,082,700股，总股本扣除回购专用证
券账户中的股份数为1,255,115,100股，以此计算合计派发现金红利34,671,299,522.40元（含税
）。在实施权益分派的股权登记日前公司总股本扣除回购专用证券账户内的股份数如发生变动的
，将维持分配总额不变，相应调整每股分红比例。以上利润分配预案需提交公司股东大会审议通
过后实施。
六、 前瞻性陈述的风险声明
√适用 □不适用
本年度报告中所涉及的未来计划、发展战略等前瞻性陈述因存在不确定性，不构",,,
2,600519_2024_p078_s0_c2,贵州茅台 2024年报,第十节 财务报告,78,对于以公允价值计量且其变动计入其他综合收益的债务工具，减值这块在会计上是怎么处理的？,这类债务工具的减值处理，我们是在把减值损失或利得计入当期损益的同时，调整其他综合收益。也就是说，损益和其他综合收益这两边会同时有反映。至于计提或转回的损失准备，整体上是计入当期损益的。,对于持有的以公允价值计量且其变动计入其他,是,2,1,"内关联方的应收账
其他应收款组合 备用金、押金、保证金等信用风险较低的其他应收款
其他应收款组合 合并范围内关联方的其他应收款
其他组合除上述组合外的其他款项
对于划分为组合的应收账款和因销售商品、提供劳务等日常经营活动形成的应收票据，本公
司参考历史信用损失经验，结合当前状况以及对未来经济状况的预测，编制应收账款账龄与整个
存续期预期信用损失率对照表，计算预期信用损失。除此以外的应收票据和划分为组合的其他应
收款，本公司参考历史信用损失经验，结合当前状况以及对未来经济状况的预测，通过违约风险
敞口和未来12个月内或整个存续期预期信用损失率，计算预期信用损失。
公司将计提或转回的损失准备计入当期损益。对于持有的以公允价值计量且其变动计入其他
综合收益的债务工具，本公司在将减值损失或利得计入当期损益的同时调整其他综合收益。
（6）金融资产转移
公司已将金融资产所有权上几乎所有的风险和报酬转移给转入方的，终止确认该金融资产；
保留了金融资产所有权上几乎所有的风险和报酬的，不终止确认该金融资产。
公司既没有转移也没有保留金融资产所有权上几乎所有的风险和报酬的，分别下列情况处理：
未保留对该金融资产控制的，终止确认该金融资产并将转移中产生或保留的权利和义务单独确认
为资产或负债。保留了对该金融资产控制的，按照其继续涉入所转移金融资产的程度确认有关金
融资产，并相应确认有关负债。
通过对被转",,,
3,600519_2023H1_p046_s0_c1,贵州茅台 2023H1半年报,第十节 财务报告,46,请问公司在金融负债这块具体是怎么分类和后续计量的？,我们金融负债主要分两类来处理。一类是以摊余成本计量的金融负债，这类采用实际利率法，按照摊余成本进行后续计量。另一类是以公允价值计量且其变动计入当期损益的金融负债，这里面包括交易性金融负债（含属于金融负债的衍生工具），还有初始确认时指定为以公允价值计量且其变动计入当期损益的金融负债。,对于此类金融负债，采用实际利率法，按照摊余成本进行后续计量。,是,2,1,"A.以摊余成本计量的金融负债
对于此类金融负债，采用实际利率法，按照摊余成本进行后续计量。
B.以公允价值计量且其变动计入当期损益的金融负债
以公允价值计量且其变动计入当期损益的金融负债，包括交易性金融负债(含属于金融负债的
衍生工具)和初始确认时指定为以公允价值计量且其变动计入当期损益的金融负债。
（4） 金融工具抵销
同时满足下列条件的，金融资产和金融负债以相互抵销后的净额在资产负债表内列示：具有
抵销已确认金额的法定权利，且该种法定权利是当前可执行的；计划以净额结算，或同时变现该
金融资产和清偿该金融负债。
（5） 金融资产减值
公司对于以摊余成本计量的金融资产、以公允价值计量且其变动计入其他综合收益的债务工
具投资和财务担保合同等，以预期信用损失为基础确认损失准备。
公司考虑有关过去事项、当前状况以及对未来经济状况的预测等合理且有依据的信息，以发
生违约的风险为权重，计算合同应收的现金流量与预期能收到的现金流量之间差额的现值的概率
加权金额，确认预期信用损失。
于每个资产负债表日，本公司对于处于不同阶段的金融工具的预期信用损失分别进行计量。
金融工具自初始确认后信用风险未显著增加的，处于第一阶段，本公司按照未来 12 个月内的预
期信用损失计量损失准备；金融工具自初始确认后信用风险已显著增加但尚未发生信用减值的，
处于第二阶段，本公司按照该金融工具整个存续期的预期信用损失计",,,
4,600519_2021H1_p010_s0_c1,贵州茅台 2021H1半年报,第四节 公司治理,10,公司2021年上半年在股权激励、员工持股计划或其他员工激励方面是什么情况？,这几块在2021年上半年都没有适用的情况。具体看，相关股权激励事项已在临时公告披露且后续实施无进展或变化的，不适用；临时公告未披露或有后续进展的股权激励情况，不适用；员工持股计划情况，不适用；其他激励措施，也不适用。,员工持股计划情况,是,2,1,"□适用 √不适用
二、 公司董事、监事、高级管理人员变动情况
√适用 □不适用
公司董事、监事、高级管理人员变动的情况说明
√适用 □不适用
王焱先生因工作变动，于2021年1月6日辞去公司董事职务，详见《贵州茅台关于董事辞职
的公告》（公告编号：临2021－002）。
三、利润分配或资本公积金转增预案
半年度拟定的利润分配预案、公积金转增股本预案
是否分配或转增 否
四、公司股权激励计划、员工持股计划或其他员工激励措施的情况及其影响
(一) 相关股权激励事项已在临时公告披露且后续实施无进展或变化的
□适用 √不适用
(二) 临时公告未披露或有后续进展的激励情况
股权激励情况
□适用 √不适用
其他说明
□适用 √不适用
员工持股计划情况
□适用 √不适用
其他激励措施
□适用 √不适用",,,
5,600519_2024H1_p054_s0_c1,贵州茅台 2024H1半年报,第十节 财务报告,54,公司2024年上半年的应收票据情况怎么样？,我这边看，应收票据科目是适用的，但已背书或贴现且在资产负债表日尚未到期的应收票据这一项不适用。具体到坏账计提方法和坏账准备这两块，也都是不适用。所以整体上应收票据这块没有需要特别说明的背书、贴现或者坏账情况。,(2). 期末公司已背书或贴现且在资产负债表日尚未到期的应收票据,是,2,1,"4、 应收票据
(1). 应收票据分类列示
√适用 □不适用
单位：元 币种：人民币
(2). 期末公司已背书或贴现且在资产负债表日尚未到期的应收票据
□适用 √不适用
(3). 按坏账计提方法分类披露
□适用 √不适用
(4). 坏账准备的情况
□适用 √不适用
5、 应收账款
(1). 按账龄披露
√适用 □不适用
单位：元 币种：人民币
(2). 按坏账计提方法分类披露
√适用 □不适用
单位：元 币种：人民币
按组合计提坏账准备：
√适用 □不适用",,,
6,600519_2025H1_p045_s0_c1,贵州茅台 2025H1半年报,第八节 财务报告,45,投资性房地产后续计量用的是成本模式还是公允价值模式？,我们投资性房地产采用的是成本模式。具体来说，投资性房地产按照成本进行初始计量，采用成本模式进行后续计量，并采用与固定资产和无形资产相同的方法计提折旧或进行摊销。,投资性房地产按照成本进行初始计量，采用成本模式进行后续计量，并采用与固定资产和无形资产相同的方法计提折旧或进行摊销。,否,2,1,"面价值。本公司与被投资单位之间未实现的内部交易损益按照应享有或应分担的比例计算归属于
本公司的部分，予以抵销，在此基础上确认投资损益。本公司与被投资单位发生的内部交易损失，
其中属于资产减值损失的部分，相应的未实现损失不予抵销。
13、 投资性房地产
(1).如果采用成本计量模式的
折旧或摊销方法
投资性房地产按照成本进行初始计量，采用成本模式进行后续计量，并采用与固定资产和无
形资产相同的方法计提折旧或进行摊销。
14、 固定资产
(1).确认条件
√适用 □不适用
固定资产是指为生产商品、提供劳务、出租或经营管理而持有的，使用年限超过一年，单位
价值较高的有形资产。固定资产在同时满足经济利益很可能流入、成本能够可靠计量时予以确认。
(2).折旧方法
√适用 □不适用
A.对于2014年1月1日后新购进的专门用于研发的仪器、设备，金额在100万元以下的，一
次性计入当期成本费用。
B.2014年1月1日后新购进的专门用于研发的仪器、设备，超过100万元的，折旧年限如下：
C.对于新购进金额在5,000.00元以下的固定资产，一次性计入当期成本费用。
(3).固定资产的减值测试方法、减值准备计提方法
期末或年度终了，对固定资产逐项目进行检查，如果由于市价持续下跌，或技术陈旧、损坏、
长期闲置等原因导致其可收回金额低于账面价值的，按照可收回金额低于其账面价值的差额计提
固定资产减值准",,,
7,600519_2022H1_p008_s0_c1,贵州茅台 2022H1半年报,第三节 管理层讨论与分析,8,非主营业务有没有导致利润发生重大变化？,"没有。我们在这一项上勾选的是""不适用""，也就是说报告期内不存在非主营业务导致利润重大变化的情况。",(二) 非主营业务导致利润重大变化的说明,是,2,1,"3 销售情况
单位：万元 币种：人民币
注：报告期内，公司通过“i茅台”数字营销平台实现酒类不含税收入441,637.06万元。
4 经销商情况
单位：个
(二) 非主营业务导致利润重大变化的说明
□适用 √不适用
(三) 资产、负债情况分析
√适用 □不适用
1. 资产及负债状况
单位：元
2. 境外资产情况
□适用 √不适用
3. 截至报告期末主要资产受限情况
□适用 √不适用
4. 其他说明
□适用 √不适用",,,
8,600519_2023_p014_s0_c1,贵州茅台 2023年报,第三节 管理层讨论与分析,14,从行业数据看，2023年全国规模以上白酒企业的产量、销售收入和利润总额情况怎么样？,根据国家统计局、中国酒业协会数据，2023年全国规模以上白酒企业完成酿酒总产量449.2万千升，同比下降2.8%；实现销售收入7563亿元，同比增长9.7%；实现利润总额2328亿元，同比增长7.5%。整体看是产量有所下降，但收入和利润是增长的。,"根据国家统计局、中国酒业协会数据，2023年全国规模以上白酒企业完成酿酒总产量449.2
万千升，同比下降2.8%；实现销售收入7563亿元，同比增长9.7%；实现利润总额2328亿元，
同比增长7.5%。",是,2,1,"2. 境外资产情况
√适用 □不适用
(1) 资产规模
其中：境外资产87,432,153.36（单位：元 币种：人民币），占总资产的比例为0.03%。
(2) 境外资产占比较高的相关说明
□适用 √不适用
3. 截至报告期末主要资产受限情况
□适用 √不适用
4. 其他说明
□适用 √不适用
(四) 行业经营性信息分析
√适用 □不适用
酒制造行业经营性信息分析
1 行业基本情况
√适用 □不适用
根据国家统计局、中国酒业协会数据，2023年全国规模以上白酒企业完成酿酒总产量449.2
万千升，同比下降2.8%；实现销售收入7563亿元，同比增长9.7%；实现利润总额2328亿元，
同比增长7.5%。
2 产能状况
现有产能
√适用 □不适用
说明：（1）2023 年茅台酒基酒设计产能为 42,795.00 吨，同比新增基酒产能 52.50 吨，新
增产能于 2023年 10 月投产，由于茅台酒的生产工艺特点，将在 2024 年释放；2023 年系列酒基
酒设计产能为44,460.00吨，同比新增基酒产能6,400.00吨，新增产能于2023年11月投产，由
于系列酒的生产工艺特点，将在2024年释放。（2）按照公司惯例,本报告中设计产能、实际产能
的计量单位为“吨”。
在建产能
√适用 □不适用
单位：万元 币种：人民币",,,
9,600519_2021_p014_s0_c1,贵州茅台 2021年报,第三节 管理层讨论与分析,14,公司原料采购采用什么模式？采购金额的列示口径是什么？,原料采购主要根据公司生产和销售计划，通过集中采购方式向市场采购。采购金额的列示口径是单位万元、币种人民币。,原料采购主要根据公司生产和销售计划，通过集中采购方式向市场采购。,是,2,1,"4 产品情况
√适用 □不适用
单位:万元 币种:人民币
注：（1）为保证公司可持续发展，每年需留存一定量的基酒，按生产工艺，茅台酒从生产到出厂
至少需要五年。（2）茅台酒是由不同年份、不同轮次、不同浓度的基酒相互勾兑而成，是技术和
艺术的完美结合，因此某一年份的基酒可能在未来数年都会作为产品出现。（3）公司坚持质量是
生命之魂，坚持五匠质量观，坚持“崇本守道，坚守工艺，贮足陈酿，不卖新酒”，茅台酒的生产
属于自然固态发酵，传统工艺酿造，成品率具有一定波动性。（4）基于上述原因，茅台酒基酒产
销率不能精准计算。系列酒的产品形成过程近似于茅台酒。
产品档次划分标准
√适用 □不适用
按产品品质划分。
产品结构变化情况及经营策略
□适用 √不适用
5 原料采购情况
(1). 采购模式
√适用 □不适用
原料采购主要根据公司生产和销售计划，通过集中采购方式向市场采购。
(2). 采购金额
√适用 □不适用
单位:万元 币种:人民币
6 销售情况
(1). 销售模式
√适用 □不适用
公司产品通过直销和批发代理渠道进行销售。直销渠道指自营渠道，批发代理渠道指社会经
销商、商超、电商等渠道。
(2). 销售渠道
√适用 □不适用
单位：万元 币种：人民币
渠道类型 本期销售收入 上期销售收入 本期销售量 上期销售量",,,
10,600519_2021H1_p010_s1_c1,贵州茅台 2021H1半年报,第五节 环境与社会责任,10,公司污水处理厂的分布和排放方式是怎样的？,我们一共有5个污水处理厂，每个污水处理厂设置1个排放口。分布上，公司本部老厂区及中华片区有，和义兴酒业分公司的大地片区、新寨片区、二合片区也有。排放方式是废水处理达标后直排。,公司共有5个污水处理厂，每个污水处理厂设置1个排放口，分布在公司本部老厂区及中华片区，和义兴酒业分公司大地片区、新寨片区、二合片区，排放方式为废水处理达标后直排。,否,2,1,"第五节 环境与社会责任
一、 环境信息情况
(一) 属于环境保护部门公布的重点排污单位的公司及其主要子公司的环保情况说明
√适用 □不适用
1. 排污信息
√适用 □不适用
（1）主要污染物：废水、废气、固体废物。
（2）特征污染物的名称：COD、氨氮、二氧化硫、氮氧化物、烟（粉）尘。
（3）2021年1—6月污染物排放情况：
①废水
公司共有5个污水处理厂，每个污水处理厂设置1个排放口，分布在公司本部老厂区及中华
片区，和义兴酒业分公司大地片区、新寨片区、二合片区，排放方式为废水处理达标后直排。",,,
